一段・クレル,命令ｙｏ,れよ
一段・クレル,基本形,れる
一段・クレル,命令ｒｏ,れろ
一段・クレル,未然特殊,ん
一段・クレル,未然ウ接続,れよ
一段・クレル,未然形,れ
一段・クレル,仮定形,れれ
一段・クレル,仮定縮約１,れりゃ
一段・クレル,連用形,れ
上二・ダ行,体言接続,ずる
上二・ダ行,命令ｙｏ,ぢよ
上二・ダ行,基本形,づ
上二・ダ行,仮定形,ずれ
上二・ダ行,未然形,ぢ
上二・ダ行,現代基本形,ず
上二・ダ行,連用形,ぢ
カ変・クル,命令ｉ,こい
カ変・クル,体言接続特殊,くん
カ変・クル,命令ｙｏ,こよ
カ変・クル,基本形,くる
カ変・クル,仮定縮約１,くりゃ
カ変・クル,体言接続特殊２,く
カ変・クル,未然ウ接続,こよ
カ変・クル,未然形,こ
カ変・クル,仮定形,くれ
カ変・クル,連用形,き
四段・タ行,命令ｅ,て
四段・タ行,連用形,ち
四段・タ行,仮定形,て
四段・タ行,基本形,つ
四段・タ行,未然形,た
五段・ガ行,命令ｅ,げ
五段・ガ行,基本形,ぐ
五段・ガ行,仮定縮約１,ぎゃ
五段・ガ行,未然ウ接続,ご
五段・ガ行,連用タ接続,い
五段・ガ行,仮定形,げ
五段・ガ行,未然形,が
五段・ガ行,連用形,ぎ
五段・ワ行ウ音便,命令ｅ,え
五段・ワ行ウ音便,基本形,う
五段・ワ行ウ音便,未然ウ接続,お
五段・ワ行ウ音便,連用タ接続,う
五段・ワ行ウ音便,仮定形,え
五段・ワ行ウ音便,未然形,わ
五段・ワ行ウ音便,連用形,い
下二・カ行,体言接続,くる
下二・カ行,命令ｙｏ,けよ
下二・カ行,基本形,く
下二・カ行,未然形,け
下二・カ行,仮定形,くれ
下二・カ行,連用形,け
形容詞・イ段,連用ゴザイ接続,う
形容詞・イ段,連用タ接続,かっ
形容詞・イ段,仮定縮約１,けりゃ
形容詞・イ段,命令ｅ,かれ
形容詞・イ段,未然ウ接続,かろ
形容詞・イ段,仮定縮約２,きゃ
形容詞・イ段,体言接続,き
形容詞・イ段,仮定形,けれ
形容詞・イ段,基本形,い
形容詞・イ段,連用テ接続,くっ
形容詞・イ段,未然ヌ接続,から
形容詞・イ段,ガル接続,
形容詞・イ段,文語基本形,し
形容詞・アウオ段,連用ゴザイ接続,う
形容詞・アウオ段,連用タ接続,かっ
形容詞・アウオ段,仮定縮約１,けりゃ
形容詞・アウオ段,命令ｅ,かれ
